work_id	citation	year	permanent_url	research_question	technologies	biological_system	ground_truth	analysis_level	rna_structure_included	structure_type	measurement_error_modeled	cross_platform	technology_specific	predictive_or_descriptive	independent_external_validation	software_tool	closest_overlap	remaining_difference	evidence_depth	accessed
P11	Roberts A et al. Improving RNA-Seq expression estimates by correcting for fragment bias. Genome Biology 12:R22	2011	https://doi.org/10.1186/gb-2011-12-3-r22	Sequence-dependent fragment bias correction	RNA-seq across libraries/technologies	RNA-seq with qRT-PCR comparisons	Independent qRT-PCR, with its own limitations	Transcript/fragment	No measured in-vivo structure identified	NA	Yes	Yes in evaluation	Library-specific	Predictive bias correction	Independent assay comparisons; not our structural test	Cufflinks	Bias correction and replicability are prior art	Experimental structure increment beyond identifiability	Primary abstract/publication record	2026-09-22
P12	Schulz L et al. Direct long-read RNA sequencing identifies a subset of questionable exitrons likely arising from reverse transcription artifacts. Genome Biology	2021	https://doi.org/10.1186/s13059-021-02411-1	Distinguish cDNA artifacts from apparent splicing	ONT directRNA and cDNA	Human; SG-NEx and consortium data	Protocol contrasts; no universal splice truth	Splicing/regions	Mechanistic structure possible; input details unverified	Unknown	Artifact detection	Yes by protocol	Yes	Descriptive/artifact analysis	Multiple resources; exact independence unverified	Code status unverified	SG-NEx-using work on local technology artifacts	Not a verified nested measured-structure prediction study	Primary abstract; SG-NEx curated use list	2026-09-22
P13	Enhancing transcriptome expression quantification through accurate assignment of long RNA sequencing reads with TranSigner. Genome Research	2024	https://pmc.ncbi.nlm.nih.gov/articles/PMC11343119/	Improve long-read transcript assignment	ONT long-read RNA	SG-NEx human cell lines; simulations	Sequins and simulations	Transcript	No measured structure input identified	NA	Yes	Method comparisons	Long-read-specific	Probabilistic quantifier	Multiple datasets; split independence unverified	TranSigner	Existing assignment/quantification explanation of disagreement	Not residual experimental structure prediction	Primary methods excerpt	2026-09-22
P14	Long-read sequencing transcriptome quantification with lr-kallisto. PLoS Computational Biology	2025	https://doi.org/10.1371/journal.pcbi.1013692	Long-read transcript quantification	Long-read and short-read comparisons	SG-NEx HCT116; LRGASP; IGVF	Simulation and empirical comparisons	Transcript	No measured folding input identified	NA	Yes	Yes	Long-read algorithm	Quantifier	Multiple external resources; not our locked D>C	https://github.com/pachterlab/kallisto	Quantifier choice and version can alter phenotype	Predicting protocol disagreement using independent structure	Primary data-availability/method excerpt	2026-09-22
P15	RASP: an atlas of transcriptome-wide RNA secondary structure probing data. Nucleic Acids Research	2021	https://doi.org/10.1093/nar/gkaa880	Collect and visualize experimental probing	Multiple structure assays	Multiple species	Source assay measurements	Nucleotide/transcript	Yes	Experimental data atlas	No sequencing-reliability endpoint	Across probing assays	Assay metadata	Resource/descriptive	Not applicable predictive validation	http://rasp.zhanglab.net	Existing RNA structure explorer; not novel to expose scores	Validated measurement-risk evidence is a different target	Primary abstract	2026-09-22
P16	US9909175B2. Analysing sequencing bias	2018	https://patents.google.com/patent/US9909175B2/en	Sequence/structure-dependent library bias and adapters	Small-RNA library sequencing	Synthetic oligonucleotides	Synthetic random RNA controls	Sequence/fragment	Yes	Predicted folds and adapter interactions	Bias detection/correction	Not central	Library-specific	Experimental/method invention	Not our external predictive design	Patent; not a research software benchmark	Structure and sequencing-bias concept already disclosed	No verified human icSHAPE/identifiability/external combination; no legal opinion	Public patent description; no claim-scope legal audit	2026-09-22
P17	EP4482977A1. Single-molecule RNA structure profiling	2024	https://patents.google.com/patent/EP4482977A1/en	Measure RNA structure using modified RNA and single-molecule sequencing	Chemical probing; consensus sequencing	RNA molecules	Chemical mutation profiles	Nucleotide/molecule	Yes	Experimental profiling	Structure measurement; not transcript abundance behavior	Not central	Assay-specific	Measurement invention	Unknown	Patent	Structure assay technology prior art	Does not establish our incremental measurement-behavior hypothesis	Public patent claims excerpt	2026-09-22
P18	Utilising Nanopore direct RNA sequencing of blood from patients with sepsis for discovery of co- and post-transcriptional disease biomarkers. medRxiv	2024	https://doi.org/10.1101/2024.12.13.24318230	Cross-platform profiling of blood RNA	ONT directRNA; Illumina	Human blood	No absolute transcript truth identified	Gene/transcript	No probing input identified	NA	Agreement; not absolute error	Yes	Yes	Descriptive comparison	Not locked independent structure validation	Pipeline comparison; code status unverified	Platform agreement and quantifier dependence	Clinical application is outside scope; no incremental structural prediction	Primary preprint abstract; no clinical conclusions adopted	2026-09-22
P19	Genomic language model mitigates chimera artifacts in nanopore direct RNA sequencing. Nature Communications	2026	https://doi.org/10.1038/s41467-026-68571-5	Identify chimeric artifacts in direct RNA reads	ONT directRNA	SG-NEx human cells	Exact truth construction requires full review	Read/region	No independent probing input identified	Sequence language model	Artifact detection	Not established	Yes	Predictive	Independent split details unresolved	DeepChopper	Recent SG-NEx-using local molecular artifact predictor	Not verified transcript-level structure increment beyond identifiability	Primary indexed methods excerpt	2026-09-22
P20	IsoAtlas: Visual interpretation of known and novel transcript isoforms using population-scale long-read evidence. bioRxiv	2026	https://doi.org/10.64898/2026.08.12.744438	Visualize support across contexts/platforms	Long-read collections	Human/mouse contexts	Observed read support, not universal truth	Transcript	Transcript architecture; not folding	NA	No primary quantification-error model identified	Yes evidence aggregation	Metadata-specific	Web resource/descriptive	Not our external structure predictor	https://isoatlas.org	Explorer and platform-support presentation already exist	Validated incremental molecular-risk prediction remains different	Primary preprint abstract excerpt	2026-09-22
P21	Blind spots of quantitative RNA-seq: the limits for assessing abundance, differential expression, and isoform switching	2013	https://pubmed.ncbi.nlm.nih.gov/24365034/	Which transcripts escape reliable quantification	Short-read RNA-seq	Human transcriptome/simulations	Simulation; workflow assessments	Gene/transcript	No measured structure input identified	NA	Yes	Workflow comparisons	Protocol-dependent	Descriptive and simulation	External predictive validation unverified	Software details unverified	Detectability, sequence repetition and isoform complexity	Measured in-vivo incremental multi-platform validation	Primary abstract	2026-09-22
